Format Combination,N_Formats,AllURLs_Total_Extracted,AllURLs_VP,AllURLs_GT_Total,AllURLs_Precision,AllURLs_P_95%_CI_Lower,AllURLs_P_95%_CI_Upper,AllURLs_Recall,AllURLs_R_95%_CI_Lower,AllURLs_R_95%_CI_Upper,AllURLs_F1,AllURLs_F1_95%_CI_Lower,AllURLs_F1_95%_CI_Upper
TEXTWAL,1,3169,1887,2338,0.5955,0.5169,0.6638,0.8071,0.7542,0.8474,0.6853,0.6147,0.7414
Markdown,1,2143,1474,2338,0.6878,0.6414,0.7298,0.6305,0.5332,0.7337,0.6579,0.5967,0.714
LaTeX,1,1580,1174,2338,0.743,0.6672,0.7979,0.5021,0.379,0.6251,0.5993,0.4876,0.6954
HTML,1,1690,827,2338,0.4893,0.3306,0.6468,0.3537,0.2247,0.4902,0.4106,0.2697,0.5519
Qwen2-VL,1,7119,789,2338,0.1108,0.0836,0.146,0.3375,0.2609,0.4378,0.1669,0.1309,0.211
XML,1,966,670,2338,0.6936,0.6339,0.7415,0.2866,0.2148,0.3792,0.4056,0.3245,0.4961
TEXTWAL + Markdown,2,3797,2098,2338,0.5525,0.4829,0.6154,0.8973,0.8646,0.9215,0.6839,0.6217,0.7354
TEXTWAL + LaTeX,2,3591,2059,2338,0.5734,0.5021,0.6347,0.8807,0.8376,0.9122,0.6946,0.6309,0.7451
TEXTWAL + Qwen2-VL,2,9649,2059,2338,0.2134,0.1607,0.2715,0.8807,0.8468,0.9064,0.3435,0.271,0.4164
TEXTWAL + HTML,2,4188,2049,2338,0.4893,0.4253,0.5494,0.8764,0.8343,0.9084,0.6279,0.5654,0.6819
TEXTWAL + XML,2,3590,2035,2338,0.5669,0.4942,0.6313,0.8704,0.8318,0.8983,0.6866,0.6229,0.7375
HTML + Markdown,2,3293,1767,2338,0.5366,0.4688,0.6069,0.7558,0.6589,0.8377,0.6276,0.5573,0.6955
LaTeX + Markdown,2,2658,1741,2338,0.655,0.5981,0.7046,0.7447,0.6699,0.8185,0.697,0.6462,0.7451
Qwen2-VL + Markdown,2,8511,1541,2338,0.1811,0.1385,0.2307,0.6591,0.5585,0.766,0.2841,0.2276,0.3463
XML + Markdown,2,2460,1523,2338,0.6191,0.5709,0.6645,0.6514,0.5515,0.7575,0.6348,0.5773,0.6879
LaTeX + HTML,2,2718,1471,2338,0.5412,0.4513,0.6256,0.6292,0.5069,0.7406,0.5819,0.4827,0.6687
LaTeX + Qwen2-VL,2,8086,1369,2338,0.1693,0.1218,0.225,0.5855,0.4673,0.703,0.2627,0.197,0.334
HTML + Qwen2-VL,2,8536,1348,2338,0.1579,0.1149,0.2084,0.5766,0.4514,0.7096,0.2479,0.1863,0.3161
LaTeX + XML,2,1991,1312,2338,0.659,0.5846,0.7197,0.5612,0.443,0.6781,0.6061,0.5119,0.6909
HTML + XML,2,2402,1244,2338,0.5179,0.4105,0.6265,0.5321,0.4037,0.6682,0.5249,0.4124,0.6385
XML + Qwen2-VL,2,7565,955,2338,0.1262,0.0968,0.1634,0.4085,0.3186,0.5264,0.1929,0.1533,0.24
TEXTWAL + HTML + Markdown,3,4730,2174,2338,0.4596,0.4011,0.5155,0.9299,0.9037,0.95,0.6152,0.5569,0.6664
TEXTWAL + HTML + Qwen2-VL,3,10602,2157,2338,0.2035,0.1566,0.253,0.9226,0.8933,0.945,0.3334,0.267,0.398
TEXTWAL + LaTeX + Markdown,3,4070,2143,2338,0.5265,0.4587,0.5867,0.9166,0.8843,0.9399,0.6689,0.6062,0.7203
TEXTWAL + HTML + XML,3,4544,2132,2338,0.4692,0.4087,0.526,0.9119,0.8788,0.937,0.6196,0.5604,0.6715
TEXTWAL + Qwen2-VL + Markdown,3,10129,2130,2338,0.2103,0.1597,0.2654,0.911,0.8818,0.9326,0.3417,0.2712,0.4121
TEXTWAL + XML + Markdown,3,4089,2129,2338,0.5207,0.4521,0.5834,0.9106,0.8808,0.9325,0.6625,0.5998,0.7152
TEXTWAL + LaTeX + Qwen2-VL,3,9960,2128,2338,0.2137,0.1619,0.2698,0.9102,0.8761,0.9359,0.3461,0.2742,0.4176
TEXTWAL + LaTeX + HTML,3,4497,2125,2338,0.4725,0.4129,0.5265,0.9089,0.8729,0.9357,0.6218,0.5632,0.6713
TEXTWAL + LaTeX + XML,3,3903,2107,2338,0.5398,0.4705,0.6012,0.9012,0.864,0.9286,0.6752,0.6116,0.7266
TEXTWAL + XML + Qwen2-VL,3,9955,2099,2338,0.2108,0.1597,0.2669,0.8978,0.8665,0.9214,0.3415,0.2706,0.4126
LaTeX + HTML + Markdown,3,3624,1867,2338,0.5152,0.4547,0.5759,0.7985,0.725,0.8662,0.6263,0.5678,0.6837
HTML + Qwen2-VL + Markdown,3,9652,1827,2338,0.1893,0.1451,0.2373,0.7814,0.6845,0.863,0.3048,0.2432,0.3675
HTML + XML + Markdown,3,3603,1809,2338,0.5021,0.4385,0.5689,0.7737,0.6764,0.8568,0.609,0.5414,0.6746
LaTeX + Qwen2-VL + Markdown,3,8994,1779,2338,0.1978,0.1502,0.2506,0.7609,0.6864,0.8338,0.314,0.25,0.3796
LaTeX + XML + Markdown,3,2935,1757,2338,0.5986,0.5388,0.6522,0.7515,0.6773,0.8247,0.6664,0.6142,0.7165
LaTeX + HTML + Qwen2-VL,3,9181,1626,2338,0.1771,0.1312,0.2282,0.6955,0.5768,0.8034,0.2823,0.2167,0.3505
LaTeX + HTML + XML,3,3096,1576,2338,0.509,0.4294,0.5838,0.6741,0.5551,0.7823,0.5801,0.4894,0.6596
XML + Qwen2-VL + Markdown,3,8795,1561,2338,0.1775,0.1366,0.2251,0.6677,0.5667,0.7755,0.2804,0.2252,0.3407
HTML + XML + Qwen2-VL,3,8914,1446,2338,0.1622,0.1204,0.2112,0.6185,0.4892,0.7548,0.257,0.1965,0.3236
LaTeX + XML + Qwen2-VL,3,8383,1399,2338,0.1669,0.1212,0.2202,0.5984,0.482,0.7149,0.261,0.1977,0.3301
TEXTWAL + HTML + Qwen2-VL + Markdown,4,11058,2204,2338,0.1993,0.1543,0.2468,0.9427,0.9203,0.9598,0.3291,0.2645,0.392
TEXTWAL + LaTeX + HTML + Markdown,4,4969,2202,2338,0.4431,0.3876,0.495,0.9418,0.9192,0.9592,0.6027,0.5465,0.6514
TEXTWAL + HTML + XML + Markdown,4,5019,2202,2338,0.4387,0.3818,0.493,0.9418,0.9196,0.9592,0.5986,0.5408,0.6499
TEXTWAL + LaTeX + HTML + Qwen2-VL,4,10861,2191,2338,0.2017,0.1556,0.2499,0.9371,0.9101,0.9579,0.332,0.2664,0.3955
TEXTWAL + HTML + XML + Qwen2-VL,4,10895,2184,2338,0.2005,0.1547,0.2485,0.9341,0.9078,0.9545,0.3301,0.2649,0.3934
TEXTWAL + LaTeX + HTML + XML,4,4805,2169,2338,0.4514,0.3938,0.5039,0.9277,0.897,0.9508,0.6073,0.5498,0.6565
TEXTWAL + LaTeX + Qwen2-VL + Markdown,4,10387,2163,2338,0.2082,0.1587,0.2619,0.9251,0.8954,0.9468,0.34,0.2701,0.4094
TEXTWAL + LaTeX + XML + Markdown,4,4338,2154,2338,0.4965,0.4295,0.5571,0.9213,0.8905,0.9438,0.6453,0.5816,0.6985
TEXTWAL + XML + Qwen2-VL + Markdown,4,10399,2143,2338,0.2061,0.157,0.2595,0.9166,0.8883,0.9373,0.3365,0.2676,0.4056
TEXTWAL + LaTeX + XML + Qwen2-VL,4,10232,2140,2338,0.2091,0.1588,0.2635,0.9153,0.882,0.94,0.3405,0.27,0.4103
LaTeX + HTML + Qwen2-VL + Markdown,4,9958,1905,2338,0.1913,0.1474,0.238,0.8148,0.7419,0.8811,0.3099,0.2487,0.3701
LaTeX + HTML + XML + Markdown,4,3901,1883,2338,0.4827,0.4246,0.5407,0.8054,0.7321,0.8725,0.6036,0.5457,0.6602
HTML + XML + Qwen2-VL + Markdown,4,9933,1844,2338,0.1856,0.1428,0.2318,0.7887,0.6911,0.8712,0.3005,0.2403,0.3617
LaTeX + XML + Qwen2-VL + Markdown,4,9257,1784,2338,0.1927,0.1467,0.2436,0.763,0.6887,0.8356,0.3077,0.2451,0.3715
LaTeX + HTML + XML + Qwen2-VL,4,9471,1649,2338,0.1741,0.1297,0.2231,0.7053,0.5868,0.8126,0.2793,0.2157,0.3451
TEXTWAL + LaTeX + HTML + Qwen2-VL + Markdown,5,11284,2222,2338,0.1969,0.1531,0.2429,0.9504,0.9303,0.9658,0.3262,0.2632,0.3877
TEXTWAL + HTML + XML + Qwen2-VL + Markdown,5,11327,2216,2338,0.1956,0.1519,0.2419,0.9478,0.9276,0.9636,0.3243,0.2613,0.3858
TEXTWAL + LaTeX + HTML + XML + Markdown,5,5237,2213,2338,0.4226,0.3681,0.4738,0.9465,0.9251,0.9629,0.5843,0.5275,0.6336
TEXTWAL + LaTeX + HTML + XML + Qwen2-VL,5,11131,2201,2338,0.1977,0.1529,0.2446,0.9414,0.9152,0.9612,0.3268,0.2625,0.389
TEXTWAL + LaTeX + XML + Qwen2-VL + Markdown,5,10643,2165,2338,0.2034,0.1553,0.2558,0.926,0.8965,0.9475,0.3336,0.2652,0.4017
LaTeX + HTML + XML + Qwen2-VL + Markdown,5,10221,1910,2338,0.1869,0.1444,0.2322,0.8169,0.7443,0.8833,0.3042,0.2445,0.3634
TEXTWAL + LaTeX + HTML + XML + Qwen2-VL + Markdown,6,11540,2224,2338,0.1927,0.15,0.2376,0.9512,0.9314,0.9664,0.3205,0.2586,0.3807
