Format Combination,N_Formats,OADS_VP,OADS_Total,OADS_R,OADS_Missing%,OADS_R_95%_CI_Lower,OADS_R_95%_CI_Upper
Markdown,1,396,488,0.8115,18.9,0.7066,0.8931
TEXTWAL,1,361,488,0.7398,26.0,0.6715,0.7976
Qwen2-VL,1,313,488,0.6414,35.9,0.5398,0.7427
LaTeX,1,304,488,0.623,37.7,0.5243,0.7235
XML,1,206,488,0.4221,57.8,0.3352,0.5214
HTML,1,174,488,0.3566,64.3,0.2541,0.4627
TEXTWAL + Markdown,2,455,488,0.9324,6.8,0.8972,0.9619
TEXTWAL + Qwen2-VL,2,446,488,0.9139,8.6,0.8817,0.9437
LaTeX + Markdown,2,431,488,0.8832,11.7,0.8168,0.9407
TEXTWAL + XML,2,424,488,0.8689,13.1,0.8187,0.9116
TEXTWAL + LaTeX,2,423,488,0.8668,13.3,0.814,0.9108
Qwen2-VL + Markdown,2,417,488,0.8545,14.5,0.7457,0.9357
HTML + Markdown,2,413,488,0.8463,15.4,0.741,0.9233
XML + Markdown,2,407,488,0.834,16.6,0.7288,0.9157
TEXTWAL + HTML,2,406,488,0.832,16.8,0.7732,0.8785
LaTeX + Qwen2-VL,2,381,488,0.7807,21.9,0.692,0.8699
HTML + Qwen2-VL,2,362,488,0.7418,25.8,0.6377,0.8386
LaTeX + HTML,2,355,488,0.7275,27.3,0.6418,0.8122
LaTeX + XML,2,350,488,0.7172,28.3,0.6291,0.8078
XML + Qwen2-VL,2,348,488,0.7131,28.7,0.6052,0.8167
HTML + XML,2,287,488,0.5881,41.2,0.4725,0.7079
TEXTWAL + Qwen2-VL + Markdown,3,467,488,0.957,4.3,0.9324,0.9778
TEXTWAL + LaTeX + Markdown,3,465,488,0.9529,4.7,0.9243,0.9774
TEXTWAL + LaTeX + Qwen2-VL,3,463,488,0.9488,5.1,0.9218,0.9731
TEXTWAL + XML + Markdown,3,462,488,0.9467,5.3,0.9177,0.9713
TEXTWAL + HTML + Qwen2-VL,3,460,488,0.9426,5.7,0.9141,0.9667
TEXTWAL + HTML + Markdown,3,460,488,0.9426,5.7,0.91,0.9696
TEXTWAL + XML + Qwen2-VL,3,457,488,0.9365,6.4,0.9073,0.9633
TEXTWAL + LaTeX + XML,3,448,488,0.918,8.2,0.8769,0.9523
LaTeX + HTML + Markdown,3,443,488,0.9078,9.2,0.8452,0.9597
TEXTWAL + HTML + XML,3,439,488,0.8996,10.0,0.8536,0.9374
LaTeX + Qwen2-VL + Markdown,3,439,488,0.8996,10.0,0.833,0.9561
LaTeX + XML + Markdown,3,433,488,0.8873,11.3,0.821,0.9448
TEXTWAL + LaTeX + HTML,3,432,488,0.8852,11.5,0.8349,0.9257
HTML + Qwen2-VL + Markdown,3,430,488,0.8811,11.9,0.7731,0.9541
HTML + XML + Markdown,3,422,488,0.8648,13.5,0.7599,0.9402
XML + Qwen2-VL + Markdown,3,420,488,0.8607,13.9,0.7519,0.9417
LaTeX + HTML + Qwen2-VL,3,411,488,0.8422,15.8,0.7609,0.9205
LaTeX + XML + Qwen2-VL,3,386,488,0.791,20.9,0.7033,0.8789
LaTeX + HTML + XML,3,384,488,0.7869,21.3,0.7032,0.8698
HTML + XML + Qwen2-VL,3,382,488,0.7828,21.7,0.6756,0.8813
TEXTWAL + LaTeX + Qwen2-VL + Markdown,4,473,488,0.9693,3.1,0.9469,0.9878
TEXTWAL + HTML + Qwen2-VL + Markdown,4,471,488,0.9652,3.5,0.9408,0.9848
TEXTWAL + LaTeX + HTML + Qwen2-VL,4,470,488,0.9631,3.7,0.9387,0.9839
TEXTWAL + XML + Qwen2-VL + Markdown,4,470,488,0.9631,3.7,0.9398,0.9829
TEXTWAL + LaTeX + HTML + Markdown,4,469,488,0.9611,3.9,0.9325,0.9838
TEXTWAL + LaTeX + XML + Markdown,4,467,488,0.957,4.3,0.9292,0.9799
TEXTWAL + LaTeX + XML + Qwen2-VL,4,466,488,0.9549,4.5,0.9295,0.9777
TEXTWAL + HTML + XML + Qwen2-VL,4,466,488,0.9549,4.5,0.9289,0.9771
TEXTWAL + HTML + XML + Markdown,4,466,488,0.9549,4.5,0.9261,0.9783
TEXTWAL + LaTeX + HTML + XML,4,453,488,0.9283,7.2,0.8867,0.9615
LaTeX + HTML + Qwen2-VL + Markdown,4,451,488,0.9242,7.6,0.8609,0.9734
LaTeX + HTML + XML + Markdown,4,445,488,0.9119,8.8,0.849,0.9634
LaTeX + XML + Qwen2-VL + Markdown,4,439,488,0.8996,10.0,0.833,0.9561
HTML + XML + Qwen2-VL + Markdown,4,433,488,0.8873,11.3,0.7797,0.9607
LaTeX + HTML + XML + Qwen2-VL,4,412,488,0.8443,15.6,0.7627,0.9231
TEXTWAL + LaTeX + HTML + Qwen2-VL + Markdown,5,477,488,0.9775,2.3,0.9556,0.9939
TEXTWAL + HTML + XML + Qwen2-VL + Markdown,5,474,488,0.9713,2.9,0.9487,0.9891
TEXTWAL + LaTeX + XML + Qwen2-VL + Markdown,5,473,488,0.9693,3.1,0.9469,0.9878
TEXTWAL + LaTeX + HTML + XML + Qwen2-VL,5,471,488,0.9652,3.5,0.941,0.9857
TEXTWAL + LaTeX + HTML + XML + Markdown,5,471,488,0.9652,3.5,0.9378,0.9864
LaTeX + HTML + XML + Qwen2-VL + Markdown,5,451,488,0.9242,7.6,0.8609,0.9734
TEXTWAL + LaTeX + HTML + XML + Qwen2-VL + Markdown,6,477,488,0.9775,2.3,0.9556,0.9939
