Combination,Baseline,Holm_p,Significant,Effect_Size,Note
textwal_pymupdf,textwal_pymupdf,,,,BASELINE
latex,textwal_pymupdf,1.2745293152791215e-10,True,-0.6396374326310632,
html,textwal_pymupdf,7.268645574414682e-21,True,-0.878057685286601,
xml,textwal_pymupdf,1.711281119559434e-14,True,-0.7610665737190658,
vlm_qwen,textwal_pymupdf,5.9380464795123185e-09,True,-0.6171211667166118,
markdown,textwal_pymupdf,0.30879811459280077,False,-0.25225806451612903,
textwal_pymupdf + latex,textwal_pymupdf,6.766425277210892e-09,True,1.0,
textwal_pymupdf + html,textwal_pymupdf,3.086380746418588e-08,True,1.0,
textwal_pymupdf + xml,textwal_pymupdf,7.551826525535636e-12,True,1.0,
textwal_pymupdf + vlm_qwen,textwal_pymupdf,1.3216980599774713e-14,True,1.0,
textwal_pymupdf + markdown,textwal_pymupdf,5.611729356015441e-14,True,1.0,
latex + html,textwal_pymupdf,1.7429539842717026e-05,True,-0.46439628482972134,
latex + xml,textwal_pymupdf,0.00044160220953924563,True,-0.41942446043165466,
latex + vlm_qwen,textwal_pymupdf,0.07140129734059988,False,-0.2848679098679099,
latex + markdown,textwal_pymupdf,1.0,False,-0.09111361079865017,
html + xml,textwal_pymupdf,3.996977680095251e-06,True,-0.49764193723925265,
html + vlm_qwen,textwal_pymupdf,0.07522471026655679,False,-0.28297055057618437,
html + markdown,textwal_pymupdf,1.0,False,-0.0318082788671024,
xml + vlm_qwen,textwal_pymupdf,0.0075595672595043985,True,-0.35449063789273244,
xml + markdown,textwal_pymupdf,1.0,False,-0.07726377952755906,
vlm_qwen + markdown,textwal_pymupdf,1.0,False,-0.03453968253968254,
textwal_pymupdf + latex + html,textwal_pymupdf,1.6981121258981505e-12,True,1.0,
textwal_pymupdf + latex + xml,textwal_pymupdf,1.8369341677633313e-14,True,1.0,
textwal_pymupdf + latex + vlm_qwen,textwal_pymupdf,6.934190833033847e-16,True,1.0,
textwal_pymupdf + latex + markdown,textwal_pymupdf,3.026430434369157e-15,True,1.0,
textwal_pymupdf + html + xml,textwal_pymupdf,6.381944030803426e-15,True,1.0,
textwal_pymupdf + html + vlm_qwen,textwal_pymupdf,9.2246675050187e-18,True,1.0,
textwal_pymupdf + html + markdown,textwal_pymupdf,4.965042771760446e-16,True,1.0,
textwal_pymupdf + xml + vlm_qwen,textwal_pymupdf,1.6904193895980611e-16,True,1.0,
textwal_pymupdf + xml + markdown,textwal_pymupdf,6.934190833033847e-16,True,1.0,
textwal_pymupdf + vlm_qwen + markdown,textwal_pymupdf,1.6904193895980611e-16,True,1.0,
latex + html + xml,textwal_pymupdf,0.5719201707066659,False,-0.20687645687645687,
latex + html + vlm_qwen,textwal_pymupdf,1.0,False,-0.08323620823620824,
latex + html + markdown,textwal_pymupdf,1.0,False,0.07119432984237808,
latex + xml + vlm_qwen,textwal_pymupdf,0.5138964193474266,False,-0.2173689619732785,
latex + xml + markdown,textwal_pymupdf,1.0,False,-0.006643700787401575,
latex + vlm_qwen + markdown,textwal_pymupdf,1.0,False,0.03849518810148731,
html + xml + vlm_qwen,textwal_pymupdf,1.0,False,-0.0979020979020979,
html + xml + markdown,textwal_pymupdf,1.0,False,0.1130524152106886,
html + vlm_qwen + markdown,textwal_pymupdf,1.0,False,0.1605344295991778,
xml + vlm_qwen + markdown,textwal_pymupdf,1.0,False,0.017839566929133858,
textwal_pymupdf + latex + html + xml,textwal_pymupdf,1.6904193895980611e-16,True,1.0,
textwal_pymupdf + latex + html + vlm_qwen,textwal_pymupdf,4.5182166381225965e-18,True,1.0,
textwal_pymupdf + latex + html + markdown,textwal_pymupdf,4.083709246626444e-17,True,1.0,
textwal_pymupdf + latex + xml + vlm_qwen,textwal_pymupdf,5.768713107353415e-17,True,1.0,
textwal_pymupdf + latex + xml + markdown,textwal_pymupdf,4.965042771760446e-16,True,1.0,
textwal_pymupdf + latex + vlm_qwen + markdown,textwal_pymupdf,8.088733230638711e-17,True,1.0,
textwal_pymupdf + html + xml + vlm_qwen,textwal_pymupdf,2.145514021040063e-18,True,1.0,
textwal_pymupdf + html + xml + markdown,textwal_pymupdf,9.2246675050187e-18,True,1.0,
textwal_pymupdf + html + vlm_qwen + markdown,textwal_pymupdf,2.145514021040063e-18,True,1.0,
textwal_pymupdf + xml + vlm_qwen + markdown,textwal_pymupdf,5.768713107353415e-17,True,1.0,
latex + html + xml + vlm_qwen,textwal_pymupdf,1.0,False,-0.017005196032120924,
latex + html + xml + markdown,textwal_pymupdf,1.0,False,0.147584789311408,
latex + html + vlm_qwen + markdown,textwal_pymupdf,0.7600084760672635,False,0.19290780141843972,
latex + xml + vlm_qwen + markdown,textwal_pymupdf,1.0,False,0.06440071556350627,
html + xml + vlm_qwen + markdown,textwal_pymupdf,0.670005342116268,False,0.1997802417340925,
textwal_pymupdf + latex + html + xml + vlm_qwen,textwal_pymupdf,1.0595247327892828e-18,True,1.0,
textwal_pymupdf + latex + html + xml + markdown,textwal_pymupdf,6.438778798367595e-18,True,1.0,
textwal_pymupdf + latex + html + vlm_qwen + markdown,textwal_pymupdf,1.5073254582847687e-18,True,1.0,
textwal_pymupdf + latex + xml + vlm_qwen + markdown,textwal_pymupdf,4.083709246626444e-17,True,1.0,
textwal_pymupdf + html + xml + vlm_qwen + markdown,textwal_pymupdf,1.0595247327892828e-18,True,1.0,
latex + html + xml + vlm_qwen + markdown,textwal_pymupdf,0.5138964193474266,False,0.21560130010834236,
textwal_pymupdf + latex + html + xml + vlm_qwen + markdown,textwal_pymupdf,7.37904365994854e-19,True,1.0,
