Combination,Baseline,Holm_p,Significant,Effect_Size,Note
textwal_pymupdf,markdown,0.0003911760048270055,True,-0.6331002331002331,
latex,markdown,8.792177974807875e-06,True,-0.7471153846153846,
html,markdown,3.8522808004192015e-14,True,-0.9533577533577534,
xml,markdown,1.2730641568820807e-09,True,-0.8672508925673482,
vlm_qwen,markdown,0.00976028507533176,True,-0.5401002506265664,
markdown,markdown,,,,BASELINE
textwal_pymupdf + latex,markdown,1.0,False,-0.23138297872340424,
textwal_pymupdf + html,markdown,0.02514330803807627,True,-0.49373433583959897,
textwal_pymupdf + xml,markdown,1.0,False,-0.03948896631823461,
textwal_pymupdf + vlm_qwen,markdown,0.33008643163124224,False,0.4310099573257468,
textwal_pymupdf + markdown,markdown,0.0052635612068653095,True,1.0,
latex + html,markdown,0.002503856639823736,True,-0.6027568922305765,
latex + xml,markdown,0.06882669011809076,False,-0.49121184088806663,
latex + vlm_qwen,markdown,1.0,False,-0.0975609756097561,
latex + markdown,markdown,0.007183672053134002,True,1.0,
html + xml,markdown,2.5944478267743864e-05,True,-0.7266865079365079,
html + vlm_qwen,markdown,0.9833188132017603,False,-0.2783673469387755,
html + markdown,markdown,0.12615634189373048,False,1.0,
xml + vlm_qwen,markdown,0.9738264795433178,False,-0.2916666666666667,
xml + markdown,markdown,0.12615634189373048,False,1.0,
vlm_qwen + markdown,markdown,0.0052635612068653095,True,1.0,
textwal_pymupdf + latex + html,markdown,1.0,False,-0.18857142857142858,
textwal_pymupdf + latex + xml,markdown,0.8370036221221251,False,0.35285285285285284,
textwal_pymupdf + latex + vlm_qwen,markdown,0.0022468236478472656,True,0.7815126050420168,
textwal_pymupdf + latex + markdown,markdown,0.0005186001426763019,True,1.0,
textwal_pymupdf + html + xml,markdown,1.0,False,0.08170731707317073,
textwal_pymupdf + html + vlm_qwen,markdown,0.06882669011809076,False,0.5448079658605974,
textwal_pymupdf + html + markdown,markdown,0.002649855900288413,True,1.0,
textwal_pymupdf + xml + vlm_qwen,markdown,0.015016200720310532,True,0.6638655462184874,
textwal_pymupdf + xml + markdown,markdown,0.0010081448540931394,True,1.0,
textwal_pymupdf + vlm_qwen + markdown,markdown,0.00018544582973793476,True,1.0,
latex + html + xml,markdown,1.0,False,-0.2857142857142857,
latex + html + vlm_qwen,markdown,1.0,False,0.18758434547908232,
latex + html + markdown,markdown,0.002649855900288413,True,1.0,
latex + xml + vlm_qwen,markdown,1.0,False,-0.033738191632928474,
latex + xml + markdown,markdown,0.0052635612068653095,True,1.0,
latex + vlm_qwen + markdown,markdown,0.0010081448540931394,True,1.0,
html + xml + vlm_qwen,markdown,1.0,False,-0.05094130675526024,
html + xml + markdown,markdown,0.00976028507533176,True,1.0,
html + vlm_qwen + markdown,markdown,0.0010081448540931394,True,1.0,
xml + vlm_qwen + markdown,markdown,0.003681155363322747,True,1.0,
textwal_pymupdf + latex + html + xml,markdown,0.6923543114465259,False,0.36984352773826457,
textwal_pymupdf + latex + html + vlm_qwen,markdown,0.0011402613838954695,True,0.7927927927927928,
textwal_pymupdf + latex + html + markdown,markdown,0.0003911760048270055,True,1.0,
textwal_pymupdf + latex + xml + vlm_qwen,markdown,0.0008990705918258042,True,0.8319327731092437,
textwal_pymupdf + latex + xml + markdown,markdown,0.0003911760048270055,True,1.0,
textwal_pymupdf + latex + vlm_qwen + markdown,markdown,6.264178550802798e-05,True,1.0,
textwal_pymupdf + html + xml + vlm_qwen,markdown,0.007577130238404825,True,0.6968253968253968,
textwal_pymupdf + html + xml + markdown,markdown,0.0007346799009248671,True,1.0,
textwal_pymupdf + html + vlm_qwen + markdown,markdown,0.0001291248209063679,True,1.0,
textwal_pymupdf + xml + vlm_qwen + markdown,markdown,0.0001291248209063679,True,1.0,
latex + html + xml + vlm_qwen,markdown,1.0,False,0.2147937411095306,
latex + html + xml + markdown,markdown,0.0019917543817728877,True,1.0,
latex + html + vlm_qwen + markdown,markdown,0.0003911760048270055,True,1.0,
latex + xml + vlm_qwen + markdown,markdown,0.0010081448540931394,True,1.0,
html + xml + vlm_qwen + markdown,markdown,0.0007346799009248671,True,1.0,
textwal_pymupdf + latex + html + xml + vlm_qwen,markdown,0.0006382704699788511,True,0.8380952380952381,
textwal_pymupdf + latex + html + xml + markdown,markdown,0.0002704323469298186,True,1.0,
textwal_pymupdf + latex + html + vlm_qwen + markdown,markdown,4.407511321529218e-05,True,1.0,
textwal_pymupdf + latex + xml + vlm_qwen + markdown,markdown,6.264178550802798e-05,True,1.0,
textwal_pymupdf + html + xml + vlm_qwen + markdown,markdown,8.932400449435556e-05,True,1.0,
latex + html + xml + vlm_qwen + markdown,markdown,0.0003911760048270055,True,1.0,
textwal_pymupdf + latex + html + xml + vlm_qwen + markdown,markdown,4.407511321529218e-05,True,1.0,
