,,,,,,"annotation layer, embedded in images",
arxiv_id,page,URL,location,Lexicographical Complexity,Spatial Complexity,Representational Complexity,
0711.3001,1,http://arxiv.org/abs/0711.3001v1,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
0711.3001,1, http://www.naic.edu/∼pfreire/GCpsr.html ,Footer,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
0711.3001,6,astro-ph/0501230,,"""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,Hidden in annotation layers,
0711.3001,6,arXiv:astro-ph/051218,References,"""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,Hidden in annotation layers,
0711.3001,6,arXiv:astro-ph/0512065.,References,"""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,Hidden in annotation layers,
0711.3001,6,astro-ph/0605115,References,"""URLs with paths, query Strings, and fragments"", URLs without scheme",embedded in references,Hidden in annotation layers,
0711.3001,1,http://arxiv.org/abs/0711.4065v3,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
0711.3001,17,www.esf.org/euryi.,Conclusions,"URLs without scheme, ""URLs with paths, query Strings, and fragments""",,,
0806.0851,1,mailto:bean@astro.physik.uni-goettingen.de,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet""",,Hidden in annotation layers,
0806.0851,1,http://arxiv.org/abs/0806.0851v2,Title & Authors,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
