,,,,,,,"annotation layer, embedded in images",
arxiv_id,page,URL_1,URL,location,Lexicographical Complexity,Spatial Complexity,Representational Complexity,
1601.00722,7,uri:{https://github.com/rasmusbergpalm/DeepLearnToolbox},https://github.com/rasmusbergpalm/DeepLearnToolbox,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",split across lines,,.
1601.00722,7,,http://decsai.ugr.es/cvg/dbimagenes/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes, ""URLs with paths, query Strings, and fragments"", URLs with subdomain",,,
1601.00722,6,,http://yann.lecun.com/exdb/mnist/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes, ""URLs with paths, query Strings, and fragments"", URLs with subdomain",,,
1601.02280,21,uri:{http://icerm.brown.edu/html/programs/sp_f11/schedules/slides_workshop_1_tutorial/LectureNumericalVlasov.pdf},http://icerm.brown.edu/html/programs/sp_f11/schedules/slides_workshop_1_tutorial/LectureNumericalVlasov.pdf,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","embedded in references, split across lines",,
1601.02280,20,,http://inria.hal.science/inria-00633934,References,"URLs with subdomain, ""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","embedded in references, split across lines",,
1602.00266,31,uri:{http://arxiv.org/abs/math/9707228v1},http://arxiv.org/abs/math/9707228v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00266,1,uri:{http://arxiv.org/abs/1602.00266v2},http://arxiv.org/abs/1602.00266v2,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
1602.00266,31,uri:{http://arxiv.org/abs/1510.04555v2},http://arxiv.org/abs/1510.04555v2,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00266,32,uri:{http://arxiv.org/abs/1509.08380v1},http://arxiv.org/abs/1509.08380v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00266,31,uri:{http://arxiv.org/abs/1501.00135},http://arxiv.org/abs/1501.00135,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00266,32,uri:{http://arxiv.org/abs/1410.8170v1},http://arxiv.org/abs/1410.8170v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00266,32,uri:{http://arxiv.org/abs/1408.6096v3},http://arxiv.org/abs/1408.6096v3,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00266,31,uri:{http://arxiv.org/abs/1207.1909v4},http://arxiv.org/abs/1207.1909v4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00875,1,uri:{http://arxiv.org/abs/1602.00875v2},http://arxiv.org/abs/1602.00875v2,Header,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",,"Hidden in annotation layers, Hidden in metadata",
1602.00875,5,,http://infoscience.epﬂ.ch/record/204670,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""",embedded in references,Shortened URLs that redirect to a longer address,
1602.00875,5,,http://arxiv.org/abs/1511.05201,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00875,5,,http://arxiv.org/abs/1509.06188,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,
1602.00875,5,,http://people.lids.mit.edu/yp/homepage/data/itlectures_v2.pdf,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments"", URLs with subdomain",embedded in references,,
1602.01172,3,uri:{http://www.nxtprograms.com/NXT2/forklift/steps.html},http://www.nxtprograms.com/NXT2/forklift/steps.html,Related Works & Background,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
1602.01172,9,uri:{http://www.lejos.org/nxj.php},http://www.lejos.org/nxj.php,Methodology,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in footnotes,,
