arxiv_id,page,URL,location,Lexicographical Complexity,Spatial Complexity,Representational Complexity,OADS
1601.00722,7.0,http://decsai.ugr.es/cvg/dbimagenes/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes, ""URLs with paths, query Strings, and fragments"", URLs with subdomain",,,TPD
1601.00722,6.0,http://yann.lecun.com/exdb/mnist/,Results and Discussion,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with trailing slashes, ""URLs with paths, query Strings, and fragments"", URLs with subdomain",,,TPD
1601.00722,7.0,https://github.com/rasmusbergpalm/DeepLearnToolbox,Results and Discussion,"""URLs with paths, query Strings, and fragments"", ""URLs with schemes such as http, https, ftp, sftp, git, magnet""",split across lines,,Project
1601.0228,21.0,http://icerm.brown.edu/html/programs/sp_f11/schedules/slides_workshop_1_tutorial/LectureNumericalVlasov.pdf,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", URLs with subdomain, ""URLs with paths, query Strings, and fragments""","embedded in references, split across lines",,GenURL
1601.0228,20.0,http://inria.hal.science/inria-00633934,References,"URLs with subdomain, ""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""","embedded in references, split across lines",,GenURL
1602.00266,31.0,http://arxiv.org/abs/1207.1909v4,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00266,32.0,http://arxiv.org/abs/1408.6096v3,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00266,32.0,http://arxiv.org/abs/1410.8170v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00266,31.0,http://arxiv.org/abs/1501.00135,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00266,32.0,http://arxiv.org/abs/1509.08380v1,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
1602.00266,31.0,http://arxiv.org/abs/1510.04555v2,References,"""URLs with schemes such as http, https, ftp, sftp, git, magnet"", ""URLs with paths, query Strings, and fragments""",embedded in references,,GenURL
